id,name,cost,mode,value,copies,cost_color,cost_generic,element,art,desc,image,rarity,note
SP001,불똥,1,dmg,2,1,1,0,fire,thrust,크리처 1개체에 2 피해,assets/art/SP01.png,common,
SP002,분신,2,aoe,4,1,1,1,fire,firerain,내 크리처 1개체를 소멸 → 그 ATK만큼 적 전체에 피해,assets/art/SP05.png,common,
SP003,섬광 계시,3,draw,3,1,1,2,fire,awaken,카드 2장을 뽑는다,,common,
SP004,연쇄 폭발,3,aoe,3,1,1,2,fire,firerain,적 전체에 3 피해 · 내 연소 크리처 1개체당 +1,assets/art/SP05.png,common,
SP005,불의 군단,4,summon,18,1,2,2,fire,flag,3/3 화염정령 2개체를 소환한다,,uncommon,
SP006,겁화,5,aoe,9,1,2,3,fire,firerain,적 전체에 9 피해 · 내 크리처도 3 피해,assets/art/SP04.png,uncommon,
SP007,소이탄,6,kill,0,1,3,3,fire,exec,크리처 1개체를 파괴 · 내 크리처 전체 2 피해,assets/art/SP03.png,rare,
SP008,파이어 볼트,1,dmg,2,0,1,0,fire,thrust,크리처 1개체에 2 피해,,common,
SP009,도화선,2,grant,4,0,1,1,fire,flag,내 크리처 1개체에 +5/+0 · 연소 3 부여,,common,
SP010,불사조의 깃털,2,draw,3,0,1,1,fire,awaken,내 크리처 1개체를 파괴하고 카드 2장을 뽑는다,,common,
SP011,잔물결,1,bounce,0,1,1,0,water,star,2코 이하 크리처 1개체를 손으로 되돌린다,,common,
SP012,환수,2,draw,2,1,1,1,water,awaken,내 크리처 1개체를 손으로 회수하고 카드 1장을 뽑는다,,common,
SP013,조류 읽기,3,draw,3,1,1,2,water,awaken,카드 2장을 뽑는다,,common,
SP014,역류,3,bounce,0,1,1,2,water,star,상대 크리처 1개체를 손으로 되돌린다 (코스트 제한 없음),,common,
SP015,밀물의 부름,4,summon,18,1,2,2,water,flag,2/2 물거품 2개체 소환 · 상대 1개체를 손으로,,uncommon,
SP016,대해일,5,aoe,7,1,2,3,water,firerain,적 전체에 7 피해,assets/art/SP04.png,uncommon,
SP017,심연으로,6,kill,0,1,3,3,water,exec,크리처 1개체를 덱 아래로 보낸다,assets/art/SP03.png,rare,
SP018,가시,1,dmg,2,1,1,0,nature,thrust,크리처 1개체에 2 피해,assets/art/SP01.png,common,
SP019,가시덩쿨,2,dmg,4,1,1,1,nature,thrust,크리처 1개체에 4 피해 · 내 크리처가 3개체 이상이면 5,assets/art/SP02.png,common,
SP020,무성한 수확,3,draw,3,1,1,2,nature,awaken,내 크리처 수만큼 카드를 뽑는다 (최대 2장),,common,
SP021,번성,3,buff,7,1,1,2,nature,banner,내 크리처 1개체에 +2/+3,,common,
SP022,번식,4,summon,18,1,2,2,nature,flag,2/2 새싹 3개체를 소환한다,,uncommon,
SP023,태고의 성장,5,buff,12,1,2,3,nature,banner,내 크리처 1개체에 +3/+6,,uncommon,
SP024,포식,6,kill,0,1,3,3,nature,exec,크리처 1개체를 파괴 · 내 크리처 1개체에 +2/+2,assets/art/SP03.png,rare,
SP025,쐐기,1,dmg,2,1,1,0,steel,thrust,크리처 1개체에 2 피해 · 경화를 무시한다,assets/art/SP01.png,common,
SP026,주조,2,grant,4,1,1,1,steel,flag,내 크리처 1개체에 경화 1을 부여한다,assets/art/SP02.png,common,
SP027,용해,3,draw,3,1,1,2,steel,awaken,내 크리처 1개체 HP −3 → 카드 2장을 뽑는다,,common,
SP028,파쇄,3,shatter,6,1,1,2,steel,axe,상대 인챈트의 충전을 6 제거한다,,common,
SP029,병기 조립,4,summon,18,1,2,2,steel,flag,3/6 수호 크리처 1개체를 소환한다,,uncommon,
SP030,강철 폭풍,5,aoe,7,1,2,3,steel,firerain,적 전체에 7 피해,assets/art/SP04.png,uncommon,
SP031,분쇄추,6,kill,0,1,3,3,steel,exec,크리처 1개체를 파괴한다,assets/art/SP03.png,rare,
SP032,자갈,1,dmg,2,1,1,0,earth,thrust,크리처 1개체에 2 피해,assets/art/SP01.png,common,
SP033,관통 사격,2,dmg,4,1,1,1,earth,thrust,크리처 1개체에 4 피해 · 초과분은 같은 슬롯 다음 개체로,assets/art/SP02.png,common,
SP034,폐허 발굴,3,draw,3,1,1,2,earth,awaken,"내 크리처가 없으면 카드 3장, 있으면 1장",,common,
SP035,함몰,3,aoe,3,1,1,2,earth,firerain,슬롯 1~3번에 각각 3 피해,assets/art/SP04.png,common,
SP036,축성,4,buff,9,1,2,2,earth,banner,내 크리처 1개체에 +2/+5,,uncommon,
SP037,산사태,5,aoe,7,1,2,3,earth,firerain,적 전체에 7 피해,assets/art/SP04.png,uncommon,
SP038,매몰,6,kill,0,1,3,3,earth,exec,크리처 1개체를 파괴한다,assets/art/SP03.png,rare,
SP039,피의 못,1,dmg,4,1,1,0,dark,thrust,내 HP 8 지불 → 크리처 1개체에 4 피해,,common,
SP040,피의 계약,2,dmg,5,1,1,1,dark,thrust,내 HP 8 지불 → 크리처 1개체에 5 피해,assets/art/SP02.png,common,
SP041,금단의 지식,3,draw,4.5,1,1,2,dark,awaken,내 HP 12 지불 → 카드 3장을 뽑는다,,common,
SP042,어둠의 부름,3,summon,16,1,1,2,dark,flag,내 HP 8 지불 → 2/4 망령 2개체를 소환,,common,
SP043,죽음의 계약,4,summon,22,1,2,2,dark,flag,내 HP 8 지불 → 3/5 망자 2개체를 소환,,uncommon,
